workload,rate,seed,cond,cycle,timestamp,current_peak_kvpr,best_peak_kvpr,delta_r,residency_colocated
steady,10,3,steady_r10_s3,76,1787647658.867956,0.09635546964589588,0.09635546964589588,0.0,False
steady,10,3,steady_r10_s3,77,1787647663.9520147,0.09676075875604208,0.09676075875604208,0.0,False
steady,10,3,steady_r10_s3,78,1787647669.0291576,0.09408311953382313,0.09408311953382313,0.0,False
steady,10,3,steady_r10_s3,79,1787647674.0953119,0.09178631727963085,0.09178631727963085,0.0,False
steady,10,3,steady_r10_s3,80,1787647679.2007282,0.09123520071874983,0.09123520071874983,0.0,False
steady,10,3,steady_r10_s3,81,1787647684.2712464,0.09073575088942318,0.09073575088942318,0.0,False
steady,10,3,steady_r10_s3,82,1787647689.3386707,0.0906380153425038,0.0906380153425038,0.0,False
steady,10,3,steady_r10_s3,83,1787647694.423642,0.09087827783771024,0.09087827783771024,0.0,False
steady,10,3,steady_r10_s3,84,1787647699.4983106,0.08781597509998375,0.08781597509998375,0.0,False
steady,10,3,steady_r10_s3,85,1787647704.582709,0.08271263318115603,0.08271263318115603,0.0,False
steady,10,3,steady_r10_s3,86,1787647709.6537163,0.07380745604408429,0.07380745604408429,0.0,False
steady,10,4,steady_r10_s4,1,1787648482.4203866,2.6775235651816725e-05,2.6775235651816725e-05,0.0,False
steady,10,4,steady_r10_s4,2,1787648487.4312818,0.00651368174464463,0.003741932534591432,0.0027717492100531984,False
steady,10,4,steady_r10_s4,3,1787648493.3556237,0.016184062220675206,0.013302867299093598,0.002881194921581608,True
steady,10,4,steady_r10_s4,4,1787648498.376596,0.022879812055846153,0.018091737991352056,0.004788074064494097,True
steady,10,4,steady_r10_s4,5,1787648503.3945985,0.029328652594197292,0.0231978574601107,0.006130795134086594,True
steady,10,4,steady_r10_s4,6,1787648508.404988,0.040893616980576995,0.03187962384280085,0.009013993137776143,True
steady,10,4,steady_r10_s4,7,1787648513.4134426,0.048592915486863036,0.03776677976304806,0.010826135723814974,True
steady,10,4,steady_r10_s4,8,1787648518.4457448,0.06128196729289544,0.04809419130707562,0.013187775985819813,True
steady,10,4,steady_r10_s4,9,1787648523.461328,0.05855775282338726,0.05855775282338726,0.0,True
steady,10,4,steady_r10_s4,10,1787648528.4751282,0.07050419479057618,0.07050419479057618,0.0,True
steady,10,4,steady_r10_s4,11,1787648533.490219,0.07852686064718047,0.07852686064718047,0.0,True
steady,10,4,steady_r10_s4,12,1787648538.5048368,0.08712642690986572,0.08712642690986572,0.0,True
steady,10,4,steady_r10_s4,13,1787648543.5209265,0.09502605621371406,0.09502605621371406,0.0,True
steady,10,4,steady_r10_s4,14,1787648548.538364,0.10145196787371294,0.10145196787371294,0.0,True
steady,10,4,steady_r10_s4,15,1787648553.5723915,0.10124915071240251,0.10124915071240251,0.0,True
steady,10,4,steady_r10_s4,16,1787648558.5913668,0.10295049984366735,0.10295049984366735,0.0,True
steady,10,4,steady_r10_s4,17,1787648563.6111872,0.10647190959488934,0.10647190959488934,0.0,True
steady,10,4,steady_r10_s4,18,1787648568.6514487,0.10725725501497425,0.10725725501497425,0.0,True
steady,10,4,steady_r10_s4,19,1787648573.671218,0.11134074294562621,0.11134074294562621,0.0,True
steady,10,4,steady_r10_s4,20,1787648578.6973963,0.11058080268793843,0.11058080268793843,0.0,True
steady,10,4,steady_r10_s4,21,1787648583.719172,0.10791697886432625,0.10791697886432625,0.0,True
