arm,cond,cycle,timestamp,model,gpu,weighted_token_rate,token_rate,input_rate,decode_token_tput,cell_size,tpot_slo_s,kvpr0,kvpr1,decision,moved_model,resid
cooldown30,steady8s2,15,1787609135.4801707,model_5,0,3.699960488113603,1162.2576535555136,763.3666666666667,398.8909868888469,131072,0.0383455865085125,0.07346545482450301,0.078332364903274,,,1.9228767188000369e-16
cooldown30,steady8s2,15,1787609135.4801707,model_6,1,1.6083992364158015,1051.8537208634243,888.0333333333333,163.820387530091,57344,0.03492606058716774,0.07346545482450301,0.078332364903274,,,1.9228767188000369e-16
cooldown30,steady8s2,16,1787609140.4944737,model_3,1,3.261611881019697,970.407798727737,703.7333333333333,266.6744653944037,114688,0.03177899122238159,0.06761340902120404,0.08761898536678188,,,1.7190735566102442e-16
cooldown30,steady8s2,16,1787609140.4944737,model_4,0,0.49117234817415567,532.1986697405931,403.3333333333333,128.8653364072598,36864,0.0371999591588974,0.06761340902120404,0.08761898536678188,,,1.7190735566102442e-16
cooldown30,steady8s2,16,1787609140.4944737,model_5,0,3.452987197209245,1084.6766635693934,697.1,387.5766635693934,131072,0.0383455865085125,0.06761340902120404,0.08761898536678188,,,1.7190735566102442e-16
cooldown30,steady8s2,16,1787609140.4944737,model_6,1,1.9049990314969283,1245.8227249513868,1047.0333333333333,198.78939161805351,57344,0.03492606058716774,0.06761340902120404,0.08761898536678188,,,1.7190735566102442e-16
cooldown30,steady8s2,17,1787609145.5098126,model_3,1,2.7335073559957688,813.2840303821273,693.4333333333333,119.85069704879402,114688,0.03177899122238159,0.06596992247824937,0.07819159130320161,,,2.889507905338293e-16
cooldown30,steady8s2,17,1787609145.5098126,model_4,0,0.5168008681726948,559.9678719388539,412.1333333333333,147.8345386055206,36864,0.0371999591588974,0.06596992247824937,0.07819159130320161,,,2.889507905338293e-16
cooldown30,steady8s2,17,1787609145.5098126,model_5,0,3.3314875588934663,1046.5103412558442,677.7333333333333,368.77700792251085,131072,0.0383455865085125,0.06596992247824937,0.07819159130320161,,,2.889507905338293e-16
cooldown30,steady8s2,17,1787609145.5098126,model_6,1,1.8772003257131376,1227.643051987212,951.9333333333333,275.70971865387867,57344,0.03492606058716774,0.06596992247824937,0.07819159130320161,,,2.889507905338293e-16
